cond_id,wave_deg,pip_deg,mcp_solved_deg,mass,gap,tilt_deg,f_star,n_trials,n_no_grasp,wall_s
w-15.0_p+00.0_m120,-15.0,0.0,1.7449951171875,0.12,0.0240001522974653,0.7617923414991248,,4,0,233.0664403438568
w-15.0_p+02.0_m120,-15.0,2.0,0.47698974609375006,0.12,0.02400091298620592,0.8151291370499892,,4,0,250.61552929878235
w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,0.12,0.02400088324857121,0.0930236506112746,,4,1,280.0001232624054
w-15.0_p-02.0_m120,-15.0,-2.0,2.95867919921875,0.12,0.02400036892578904,0.8741993659602783,,4,0,410.0394585132599
w-15.0_p+04.0_m120,-15.0,4.0,-0.7876586914062499,0.12,0.024000022927292367,0.5403763510789307,,4,0,249.09066128730774
w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,0.03,0.02400088324857121,0.0930236506112746,0.44145,18,12,551.8214101791382
w-15.0_p+00.0_m030,-15.0,0.0,1.7449951171875,0.03,0.0240001522974653,0.7617923414991248,0.19176739493896103,18,0,650.7709212303162
w-15.0_p+06.0_m120,-15.0,6.0,-2.0510864257812504,0.12,0.02400037605177899,0.8698304880826092,,4,0,268.2682409286499
w-15.0_p+02.0_m030,-15.0,2.0,0.47698974609375006,0.03,0.02400091298620592,0.8151291370499892,0.1853509862184311,18,0,725.7388112545013
w-15.0_p+04.0_m030,-15.0,4.0,-0.7876586914062499,0.03,0.024000022927292367,0.5403763510789307,0.1791492662403853,18,0,751.6111781597137
w-15.0_p-05.0_m060,-15.0,-5.0,4.635925292968749,0.06,0.02400088324857121,0.0930236506112746,0.8829,18,12,755.9969794750214
w-15.0_p+08.0_m120,-15.0,8.0,-3.3108520507812496,0.12,0.024000514281553906,0.8019991396371862,,4,0,283.3032238483429
w-15.0_p+04.0_m060,-15.0,4.0,-0.7876586914062499,0.06,0.024000022927292367,0.5403763510789307,0.40267155052569636,18,0,961.5636537075043
w-07.5_p-05.0_m120,-7.5,-5.0,4.635925292968749,0.12,0.024000883248571196,0.0930236506112746,,4,1,47.23927307128906
w-15.0_p+10.0_m120,-15.0,10.0,-4.56451416015625,0.12,0.024000122966779776,0.44723282864751684,,4,0,297.30515718460083
w-15.0_p+00.0_m060,-15.0,0.0,1.7449951171875,0.06,0.0240001522974653,0.7617923414991248,0.48181996476807587,18,0,1060.952666759491
w-15.0_p+06.0_m030,-15.0,6.0,-2.0510864257812504,0.03,0.02400037605177899,0.8698304880826092,0.1791492662403853,18,0,825.0849645137787
w-07.5_p-05.0_m060,-7.5,-5.0,4.635925292968749,0.06,0.024000883248571196,0.0930236506112746,,6,2,144.82381963729858
w-15.0_p-02.0_m030,-15.0,-2.0,2.95867919921875,0.03,0.02400036892578904,0.8741993659602783,0.15111782576581484,18,0,1110.2325248718262
w-07.5_p-02.0_m120,-7.5,-2.0,2.95867919921875,0.12,0.024000368925789054,0.8741993659602783,,4,0,56.10299277305603
w-15.0_p-02.0_m060,-15.0,-2.0,2.95867919921875,0.06,0.02400036892578904,0.8741993659602783,0.17957614598556143,18,0,1147.6791911125183
w-15.0_p+02.0_m060,-15.0,2.0,0.47698974609375006,0.06,0.02400091298620592,0.8151291370499892,0.48181996476807587,18,0,1261.2719280719757
w-07.5_p-02.0_m060,-7.5,-2.0,2.95867919921875,0.06,0.024000368925789054,0.8741993659602783,,6,0,267.3620865345001
w-07.5_p+00.0_m120,-7.5,0.0,1.7449951171875,0.12,0.024000152297465258,0.7617923415048661,,4,0,222.65361905097961
w-15.0_p+08.0_m030,-15.0,8.0,-3.3108520507812496,0.03,0.024000514281553906,0.8019991396371862,0.1791492662403853,18,0,920.6774566173553
w-07.5_p-05.0_m030,-7.5,-5.0,4.635925292968749,0.03,0.024000883248571196,0.0930236506112746,0.3362347388638881,18,10,693.4468348026276
w-15.0_p+06.0_m060,-15.0,6.0,-2.0510864257812504,0.06,0.02400037605177899,0.8698304880826092,0.40267155052569636,18,0,1178.5836508274078
w-07.5_p+02.0_m120,-7.5,2.0,0.47698974609375006,0.12,0.024000912986205894,0.8151291370526721,,4,0,235.9901306629181
w-07.5_p+04.0_m120,-7.5,4.0,-0.7876586914062499,0.12,0.024000022927292405,0.5403763510775818,,4,0,237.96831560134888
w-15.0_p+10.0_m030,-15.0,10.0,-4.56451416015625,0.03,0.024000122966779776,0.44723282864751684,0.1791492662403853,18,0,990.6339576244354
w-07.5_p+06.0_m120,-7.5,6.0,-2.0510864257812504,0.12,0.02400037605177899,0.8698304880826092,,4,0,257.3220067024231
w-15.0_p+08.0_m060,-15.0,8.0,-3.3108520507812496,0.06,0.024000514281553906,0.8019991396371862,0.368115432485176,18,0,1257.4340069293976
w-07.5_p+00.0_m030,-7.5,0.0,1.7449951171875,0.03,0.024000152297465258,0.7617923415048661,0.1984059244137899,18,0,751.5129668712616
w-07.5_p+02.0_m030,-7.5,2.0,0.47698974609375006,0.03,0.024000912986205894,0.8151291370526721,0.1853509862184311,18,0,733.3833174705505
w-07.5_p+08.0_m120,-7.5,8.0,-3.3108520507812496,0.12,0.02400051428155389,0.8019991396371862,,4,0,396.8770344257355
w-07.5_p+04.0_m030,-7.5,4.0,-0.7876586914062499,0.03,0.024000022927292405,0.5403763510775818,0.1791492662403853,18,0,937.8088181018829
w-07.5_p-02.0_m030,-7.5,-2.0,2.95867919921875,0.03,0.024000368925789054,0.8741993659602783,0.1731550516631511,18,0,1279.077380180359
w-07.5_p+10.0_m120,-7.5,10.0,-4.56451416015625,0.12,0.024000122966779856,0.4472328286467019,,4,0,437.6696581840515
w-15.0_p+10.0_m060,-15.0,10.0,-4.56451416015625,0.06,0.024000122966779776,0.44723282864751684,0.368115432485176,18,0,1589.7416775226593
w-07.5_p+00.0_m060,-7.5,0.0,1.7449951171875,0.06,0.024000152297465258,0.7617923415048661,0.5270498739419475,18,0,1302.3781914710999
w-07.5_p+06.0_m030,-7.5,6.0,-2.0510864257812504,0.03,0.02400037605177899,0.8698304880826092,0.1791492662403853,18,0,1024.6786286830902
w-07.5_p+04.0_m060,-7.5,4.0,-0.7876586914062499,0.06,0.024000022927292405,0.5403763510775818,0.4211476756561676,18,0,1178.8846590518951
w-07.5_p+02.0_m060,-7.5,2.0,0.47698974609375006,0.06,0.024000912986205894,0.8151291370526721,0.48181996476807587,18,0,1424.8523421287537
w-07.5_p+08.0_m030,-7.5,8.0,-3.3108520507812496,0.03,0.02400051428155389,0.8019991396371862,0.1791492662403853,18,0,1112.5064759254456
w-07.5_p+06.0_m060,-7.5,6.0,-2.0510864257812504,0.06,0.02400037605177899,0.8698304880826092,0.40267155052569636,18,0,11632.03425860405
w-07.5_p+10.0_m030,-7.5,10.0,-4.56451416015625,0.03,0.024000122966779856,0.4472328286467019,0.1791492662403853,18,0,11347.488734483719
w+00.0_p-05.0_m030,0.0,-5.0,4.635925292968749,0.03,0.024000883248571227,0.0930236506112746,0.3362347388638881,18,8,11031.831270694733
w+00.0_p+02.0_m030,0.0,2.0,0.47698974609375006,0.03,0.024000912986205936,0.8151291370549079,0.1853509862184311,18,0,741.3536114692688
w+00.0_p+04.0_m030,0.0,4.0,-0.7876586914062499,0.03,0.024000022927292405,0.5403763510775818,0.1791492662403853,18,0,757.3456590175629
w+00.0_p+00.0_m030,0.0,0.0,1.7449951171875,0.03,0.024000152297465247,0.7617923415019954,0.1984059244137899,18,0,761.2730669975281
w+00.0_p-05.0_m060,0.0,-5.0,4.635925292968749,0.06,0.024000883248571227,0.0930236506112746,0.6166572300081044,18,10,794.6767237186432
w+00.0_p-02.0_m060,0.0,-2.0,2.95867919921875,0.06,0.02400036892578904,0.8741993659602783,0.17957614598556143,18,0,1018.2782919406891
w+00.0_p-05.0_m120,0.0,-5.0,4.635925292968749,0.12,0.024000883248571227,0.0930236506112746,1.7658,18,10,1079.5384562015533
w+00.0_p+00.0_m120,0.0,0.0,1.7449951171875,0.12,0.024000152297465247,0.7617923415019954,,4,0,1097.6215448379517
w+00.0_p+00.0_m060,0.0,0.0,1.7449951171875,0.06,0.024000152297465247,0.7617923415019954,0.5270498739419475,18,0,1119.2619206905365
w+00.0_p-02.0_m030,0.0,-2.0,2.95867919921875,0.03,0.02400036892578904,0.8741993659602783,0.1731550516631511,18,0,1128.0078902244568
